Speaker,Listener,Conversation
ARTHUR,RON,"Haven't the foggiest, keep up!"
ARTHUR,AMOS,"Sorry Amos. Some of us had a bit of a sleepy start. This is Amos Diggory everyone, he works with me at the ministry. And this strapping young lad must be Cedric, am I right?"
ARTHUR,AMOS,"That's it sir, just over there."
ARTHUR,HARRY,Harry!
ARTHUR,,Let go kids!
ARTHUR,HERMIONE,Let! Go!
ARTHUR,HARRY,I bet that cleared your sinuses eh?
ARTHUR,,"Well kids, welcome to the Quidditch World Cup!"
ARTHUR,,Home sweet home.
ARTHUR,RON,"Girls. Choose a bunk and unpack. Ron, get out of the kitchen we're all hungry."
ARTHUR,,Feet off the table.
ARTHUR,,"Come on up, take your seats. I told you these seats would be worth waiting for."
ARTHUR,FRED,Stop! Stop it. It's not the irish. We've gotta get out of here. Now.
ARTHUR,,"Get back to the portkey everybody, and stick together. Fred, George... Ginny is your responsibility."
ARTHUR,BARTY,Stop! That's my son. Arthur and others approach.
ARTHUR,HERMIONE,"Ron, Harry, Hermione are you alright?"
ARTHUR,BARTY,You can't possibly..
ARTHUR,BARTY,"Barty, they're just kids."
ARTHUR,HARRY,"Harry, who?"
