Speaker,Listener,Conversation
DUMBLEDORE,,"Now we're all settled in and sorted, I'd like to make an announcement. This castle will not only be your home this year but home to some very special guests as well. You see Hogwarts has been choosen..."
DUMBLEDORE,,"So Hogwarts has been choosen to host a legendary event. The Tri-Wizard tournament. Now for those of you who do not know, the tri-wizard tournament brings together three schools for a series of magical contests. From each school a single contestant is selected to compete. Now let me be clear, if choosen you stand alone. And trust me when I say these contests are not for the faint hearted, but more of that later. For now please join me in welcoming the lovely ladies of the Beauxbatons Academy of magic and their headmistress Madam Maxime."
DUMBLEDORE,,"And now our friends from the north, please greet the proud sons of Durmstrang and the high master Igor Karkaroff."
DUMBLEDORE,IGOR,Igor.
DUMBLEDORE,MADAME MAXIME,"Not to worry Madame Maxime, our gamekeeper Hagrid's more than capable of seeing to them."
DUMBLEDORE,CROWD,"Your attention please! I would like to say a few words. Eternal glory, that is what awaits the student who wins the tri-wizard tournament. But to do this that student must survive three tasks. Three extremely dangerous tasks."
DUMBLEDORE,CROWD,For this reason the ministry has seen fit to impose a new rule. To explain all this we have the head of the department of international magic cooperation Mister Bartimus Crouch.
DUMBLEDORE,BARTY,"My dear old friend, thanks for coming."
DUMBLEDORE,CROWD,Silence!
DUMBLEDORE,CROWD,"The goblet of fire. Anyone wishing to submit themselves for the tournament merely write their name upon a piece of parchment and throw it in the flame before this hour on Thursday night. Do not do so lightly, if choosen there's no turning back. As from this moment the tri-wizard tournament has begun."
DUMBLEDORE,ALL,"Sit down please. And now the moment you've all been waiting for, the champions selection! The Durmstrang champion is ... Viktor Krum! The Durmstrang champion is ... Viktor Krum! The champion from Beauxbatons... Fleur Delacour The Hogwarts champion... Cedric Diggory. Excellent! we now have our three champions! But in the end only one will go down in history. Only one will hoist this chalice of champions, this vessel of victory the tri-wizard cup! Harry Potter. Harry Potter?"
DUMBLEDORE,HARRY,Harry Potter!
DUMBLEDORE,HARRY,Harry! Did you put your name in the goblet of fire?
DUMBLEDORE,HARRY,Did you ask one of the older students to do it for you?
DUMBLEDORE,HARRY,You're absolutely sure?
DUMBLEDORE,BARTY,That doesn't help Alastor. Leave this to you Barty.
DUMBLEDORE,MCGONAGALL,What do you suggest Minerva?
DUMBLEDORE,MCGONAGALL,You heard Barty the rules are clear.
DUMBLEDORE,SEVERUS,"I agree with Severus. Alastor, keep an eye on Harry will you?"
DUMBLEDORE,MAD-EYE,"Don't let him know though, he must be anxious enough as it is... knowing what lies ahead. Then again, we all are."
DUMBLEDORE,,"Good day champions. Gather round please. Now you've waited, you've wondered and at last the moment has arrived. The moment only four of you can fully appreciate."
DUMBLEDORE,HERMIONE,What are you doing here Miss Granger?
DUMBLEDORE,BARTY,Barty. The bag.
DUMBLEDORE,CEDRIC,Very well. Good luck champions. Mr Diggory the sound of the cannon...
DUMBLEDORE,,(VOICEOVER THE LOUDSPEAKER) Three of our champions have now faced their dragons and so each one of them will proceed to the next task. And now our fourth and final contestant.
