Speaker,Listener,Conversation
MAD-EYE,,That stupid roof.
MAD-EYE,STUDENTS,Alastor Moody.
MAD-EYE,STUDENTS,"Ministry malcontent. And your new defence against the dark arts teacher. I'm here because Dumbledore asked me, end of story, goodbye, the end. Any questions? When it comes to the dark arts, I believe in a practical approach. But first, which of you can tell me how many unforgivable curses there are?"
MAD-EYE,HERMIONE,And they are so named?
MAD-EYE,HERMIONE,"Will earn you a one way ticket to Azkaban. Correct. Now the ministry says you're too young to see what these curses do. I say different! You need to know what you're up against, you need to be prepared, you need to find somewhere else to put your chewing gum other than the underside of your desk Mr Finnigan!"
MAD-EYE,STUDENTS,"So, which curse shall we see first? WEASLEY!"
MAD-EYE,RON,Give us a curse.
MAD-EYE,RON,"Ahhh yes, your father would know all about that. Gave the ministry quite a bit of grief a few years ago. Perhaps this will show you why."
MAD-EYE,,Hello. What a little beauty.
MAD-EYE,STUDENTS,Don't worry. Completely harmless.
MAD-EYE,STUDENTS,But if she bites... she's lethal!
MAD-EYE,DRACO,What are you laughing at?
MAD-EYE,STUDENTS,Talented isn't she? What shall I have her do next? Jump out the window? Drown herself?
MAD-EYE,STUDENTS,"Scores of witches and wizards have claimed that they only do did you-know-whose bidding under the influence of the imperious curse. But here's the rub, how do we sort out the liars? Another.. another.. Come on come on. Longbottom is it? Up."
MAD-EYE,NEVILLE,Professor Sprout tells me you have an aptitude for herbology.
MAD-EYE,NEVILLE,Correct! Correct! come come. Particularly nasty. The torture curse.
MAD-EYE,HERMIONE,Perhaps you could give us the last unforgivable curse Miss Granger.
MAD-EYE,HARRY,The killing curse. Only one person is known to have survived it. And he's sitting in this room.
MAD-EYE,NEVILLE,"Son. You alright? Come on, we'll have a cup of tea. I want to show you something."
MAD-EYE,MADAME MAXIME,"The hell he is. The goblet of fire is an exceptionally powerful magical object, only an exceptionally powerful conjurer could have hoodwinked it. Magic way beyond the talents of a fourth year."
MAD-EYE,IGOR,It was once my job to think as dark wizards do Karkaroff perhaps you remember?
MAD-EYE,DUMBLEDORE,I can do that.
MAD-EYE,DRACO,I'll teach you to cast when someone's back is turned.
MAD-EYE,MCGONAGALL,Teaching.
MAD-EYE,MCGONAGALL,Technically it's a ferret.
MAD-EYE,DRACO,Is that a threat! I could tell you stories about your father that would curl even your greasy hair boy! It doesn't end here!
MAD-EYE,MCGONAGALL,He might've mentioned it.
MAD-EYE,HARRY,come with me.
MAD-EYE,HARRY,That's a foal glass. Lets me keep an eye on my enemies. If I can see the whites of their eyes they're standing right behind me. Wouldn't even bother telling you what's in ther. You wouldn't believe it if I did. Now... what are you going to do about your dragon?
MAD-EYE,HARRY,"Sit. Listen to me Potter. Your pal Diggory, by your age he could take a whistle into a watch and have it sing you the time. Miss Delacour, she's as much a fairy princess as I am. As for Krum, his head may be filled with sawdust but Karkaroff's is NOT. They'll have a strategy, and you can bet that it'll play to Krum's strengths. Hmm? Come on Potter. What are your strengths?"
MAD-EYE,HARRY,Better than fair the way I heard it.
MAD-EYE,HARRY,You're allowed a wand.
MAD-EYE,,"Hate to break up this scholar session but Professor McGonagall would like to see you in her office. Not you Potter, just Weasly and Granger."
MAD-EYE,HARRY,Exactly. Presumably Potter is well prepared by now and could do with a good night's sleep. Go. Now! Longbottom!
MAD-EYE,HARRY,Why don't you help Potter put his books back.
MAD-EYE,HARRY,Put that in your mouth.
MAD-EYE,BARTIMUS,Bartimus! Not trying to lure Potter into one of the ministry's summer internships are we? Last boy who went into the department of ministries never came out!
MAD-EYE,,And they say I'm mad.
MAD-EYE,DUMBLEDORE,"Excuse me gentlemen, it may interest you to know that this conversation is no longer private."
MAD-EYE,DUMBLEDORE,Yeah took a piece of me with him though didn't he.
MAD-EYE,,Champions! Prepare yourselves.
MAD-EYE,HARRY,Are you alright Potter?
MAD-EYE,HARRY,Does it hurt?
MAD-EYE,HARRY,I'd better take a look at it.
MAD-EYE,HARRY,What was it like? What was he like?
MAD-EYE,HARRY,The dark lord. What was it like to stand in his presence?
MAD-EYE,HARRY,"Were there others? In the graveyard, were there others?"
MAD-EYE,HARRY,Marvellous creatures dragons aren't they? Do you think that miserable oaf would have led you into the woods if I hadn't suggested it? Do you think Cedric Diggory would have told you to hold the egg under the water if I hadn't have told him first myself? Do you think Neville Longbottom the witless wonder could have provided you with gilliweed if I hadn't have given him the book that led you straight to it? Huh??
MAD-EYE,HARRY,You won because I made it so Potter. You ended up in that graveyard tonight because it was meant to be so. And now the deed is done. The blood that runs through these veins runs within the dark lord. Imagine how he will reward me when he learns that I have once and for all silenced the great Harry Potter.
MAD-EYE,DUMBLEDORE,Albus Dumbledore.
MAD-EYE,DUMBLEDORE,No.
