Speaker,Listener,Conversation
RON,,Bloody hell.
RON,ARTHUR,Don't know. Hey Dad! Where are we going?
RON,ARTHUR,"Blimey Dad, how far up ARE we?"
RON,,"There's no one like Krum. He's like a bird the way he rides the wind. He's more than an athlete, he's an artist."
RON,HARRY,Been looking for you for ages. Thought we lost you.
RON,LADY,Packet of drewbals and a liquorice wand.
RON,LADY,"On second thought, just the drewbals."
RON,LADY,"Just the drewbals, thanks."
RON,HERMIONE,"Loads according to Dad, that's what worried them so much. Happened right under their noses."
RON,HARRY,"Blimey it's him, Viktor Krum!"
RON,HERMIONE,"Bloody hell, it's Mad-Eye Moody."
RON,HERMIONE,He was a catcher. Half the cells in Azkaban are full thanks to him. He's supposed to be mad as a hatter though these days.
RON,MAD-EYE,Yes...
RON,MAD-EYE,"Well, my dad did tell me about one... The imperious curse."
RON,HERMIONE,"Brilliant isn't he! Completely demented of course. Terrifying to be in the same room with, he's really BEEN there you know."
RON,HARRY,"Eternal glory, be brilliant wouldn't it? In three years from now we'll be old enough to be choosen."
RON,HARRY,How did you do it? Never mind. Doesn't matter. You could have let your best friend know though.
RON,HARRY,You know bloody well what.
RON,HARRY,"Yeah that's me, Ron Weasley... Harry Potter's stupid friend."
RON,HARRY,Piss off.
RON,HARRY,Who you talking to?
RON,HARRY,I heard voices.
RON,HARRY,You're probably just practicing for your next interview I expect.
RON,HARRY,You think so?
RON,HARRY,Anything else?
RON,HARRY,Fine.
RON,HARRY,I reckon you'd have to be barking mad to put your own name in the goblet of fire.
RON,HARRY,Wasn't just me who thought you'd done it. Everyone was saying it behind your back.
RON,HARRY,At least I warned you about the dragons.
RON,HARRY,"Oh no no, I did. Don't you remember? I told Hermione to tell you that Seamus told me that Parvati told Dean that Hagrid was looking for you. Seamus never actually told me anything, so it was really me all along. I thought you'd be alright, you know, after you figured that out."
RON,HARRY,Yeah it is isn't it. Suppose I was a bit distraught.
RON,NIGEL,Thank you Nigel.
RON,NIGEL,Not now Nigel. Later. Go on.
RON,HARRY,I told him I'd get him Harry's autograph. Oh look mum's sent me something. Mum sent me a dress??
RON,GINNY,Ginny these must be for you.
RON,HERMIONE,What are you on about?
RON,HERMIONE,Dress robes? for what?
RON,SEAMUS,(Whispering to Seamus) Something's about to burst out of Hilary but I don't think it's a swan.
RON,MCGONAGALL,Where?
RON,HARRY,"Blimey Harry, you slayed dragons. If you can't get a date who can?"
RON,HARRY,This is mad. At this rate we'll be the only ones in our year without dates.
RON,HARRY,"Well, us and Neville!"
RON,HARRY,Now I'm really depressed.
RON,HERMIONE,"Well Hermione, you're a girl."
RON,HERMIONE,Come on. It's one thing for a bloke to show up alone. For a girl it's just sad.
RON,HERMIONE,Bloody hell.
RON,HARRY,"Look. We've just got to grit our teeth and do it. Tonight when we get back to the common room, we'll both have partners. Agreed?"
RON,HARRY,"There she was walking by. You know I like it when they walk. I couldn't help it, it just sort of slipped out."
RON,HARRY,What else? I ran for it. I'm not cut out for this Harry. I don't know what got into me.
RON,,Bloody hell.
RON,HARRY,What are those??
RON,HARRY,"Well they're alright. No lace, no dodgy little collar."
RON,HARRY,Traditional?? They're ancient! I look like my great aunt Tessie.
RON,HARRY,I smell like my great aunt Tessie. Murder me Harry.
RON,HARRY,"Poor kid, bet she's alone in her room crying her eyes out."
RON,HARRY,"Hermione of course. Come on Harry, why'd you think she wouldn't tell us who she's coming with?"
RON,HARRY,Because nobody asked her. I would have taken her myself if she weren't so bleeding proud.
RON,PADMA,No. Absolutely not.
RON,HERMIONE,"No, we'd NOT care to join you and Viktor."
RON,HERMIONE,He's a Durmstrang. You're fraternising with the enemy.
RON,HERMIONE,"Hrmph, I think he's got a bit more than friendship on his mind."
RON,PADMA,No.
RON,HERMIONE,(To Hermione) He's using you.
RON,HERMIONE,Doubt it. He's way too old.
RON,HERMIONE,Yeah that is what I think.
RON,HERMIONE,Go on.
RON,HERMIONE,Well that's completely off the point. Harry...
RON,HERMIONE,They get scary when they get older.
RON,FLEUR,Well... yeah... a bit
RON,FLEUR,Merci.
RON,FRED,Blimey even when you go wrong it turns out right.
RON,HAGRID,We're still misfits.
RON,HERMIONE,Do you think we'll ever just have a quiet year at Hogwarts?
RON,HERMIONE,Well I won't. You know I won't!
