Speaker,Listener,Conversation
VOLDEMORT,WORMTAIL,"NO! The boy is everything, it cannot be done without him and it WILL be done exactly as I say."
VOLDEMORT,UNKOWN MAN,"Good. First, gather our old comrades. Send them a sign."
VOLDEMORT,,Nagini tells me the old caretaker is standing outside the door.
VOLDEMORT,WORMTAIL,Step aside so I can give our guest a proper greeting.
VOLDEMORT,WORMTAIL,Let me see it again.
VOLDEMORT,WORMTAIL,"Ah yes, the time is close now. Harry! At last! Step aside Wormtail so I can give our guest a proper greeting!"
VOLDEMORT,WORMTAIL,Kill the spare.
VOLDEMORT,WORMTAIL,"Do it, now!"
VOLDEMORT,WORMTAIL,My wand Wormtail.
VOLDEMORT,WORMTAIL,Hold out your arm.
VOLDEMORT,WORMTAIL,The other arm Wormtail.
VOLDEMORT,,"Welcome my friends. Thirty years it's been, and yet you stand before me as though it were only yesterday. I confess myself disappointed, not one of you tried to find me."
VOLDEMORT,LUCIUS,"Not even you, Lucius."
VOLDEMORT,LUCIUS,"There were signs my friend, and more than whispers."
VOLDEMORT,WORMTAIL,"Out of fear, not loyalty. Still you have proved yourself useful these past few months Wormtail."
VOLDEMORT,CEDRIC,"Oh, such a handsome boy."
VOLDEMORT,HARRY,"Harry! I'd almost forgotten you were here. Standing on the bones of my father. I'd introduce you but word has it you're almost as famous as me these days. The boy who lived. How lies have fed your legend Harry. Shall I reveal what really happened that night thirteen years ago? Shall I divulge how I truly lost my powers? It was love. You see when dear sweet Lily Potter gave her life for her only son she provided the ultimate protection. I could not touch you. It was old magic, something I should have forseen. But no matter, no matter. Things have changed, I can touch you now!"
VOLDEMORT,HARRY,"Astonishing what a few drops of your blood will do eh Harry? Pick up your wand Potter. I said pick it up, get up. Get up! You've been taught how to duel I presume yes? First we bow to each other. Come on now Harry the niceties must be observed, Dumbledore would not want you to forget your manners now would he? I said bow!"
VOLDEMORT,HARRY,That's better. And now...
VOLDEMORT,HARRY,"Atta boy Harry, your parents would be proud. Especially your filthy mongrel mother. I'm going to kill you Harry Potter, I'm going to destroy you. After tonight no one will ever again question my powers. After tonight if they speak of you they'll speak only of how you begged for death, and I being a merciful lord obliged. Get up."
VOLDEMORT,HARRY,"Don't you turn your back on me Harry Potter I want you to look at me when I kill you, I want to see the lights leave your eyes."
VOLDEMORT,HARRY,Do nothing. He is mine to finish. He's mine!
VOLDEMORT,,No!
